Strain,Type,Rating,Effects,Flavor,Description,Strain,Medical,Cost
Earth-Og,hybrid,4.2,"Relaxed,Sleepy,Hungry,Euphoric,Creative","Earthy,Spicy/Herbal,Pine","A combination of Sour Diesel and Ghost OG, Earth OG is a cerebrally-focused hybrid with stimulating and happy effects. As its name suggests, this strain has a pleasant, earthy aroma with sour lemon undertones. Earth OG effects are enjoyable for introverts and extroverts alike: an introspective, creative buzz makes this strain good for solo sessions, but social environments may also bring out its energetic, talkative qualities. Depression, stress, and anxiety stand little chance against Earth OG’s uplifted mindset, and patients treating appetite loss and nausea may also benefit from its potent therapeutic effects.",Earth-Og,"Stress,Depression,Insomnia,Lack of Appetite, ",
El-Chapo-Og,indica,4.7,"Relaxed,Uplifted,Sleepy,Euphoric","Earthy,Flowery,Pungent","El Chapo OG is a potent indica strain out of California that smells of rich earth and pine. With dense jade popcorn buds that exhibit a shimmering coat of trichomes, this strain is visually striking and worth keeping on display. Its effects are initially stunning and settle on the body as carefree relaxation. El Chapo OG is preferred near the end of the day as its effects can become rather sedating with continued use.   ",El-Chapo-Og,"Stress,Insomnia,Muscle Spasms,Depression",
Fire-Og,hybrid,4.4,"Relaxed,Euphoric,Uplifted,Energetic","Earthy,Citrus,Lemon","Known for being one of the strongest of the OG strains, Fire OG has a strong scent similar to Lemon Pledge and an effect that can last up to 3 hours. With parents of OG Kush and San Fernando Valley OG Kush F3, the THC can be up to 20% with a CBD of 0.36%. The plant has frost covered nuggets with red hairs, giving the appearance that it is on fire--where the name Fire OG comes from. Flowering time is generally 9-10 weeks.",Fire-Og,"Stress,Depression,Lack of Appetite,Insomnia",
Forbidden-Fruit,indica,4.6,"Relaxed,Euphoric,Sleepy,Creative","Citrus,Grapefruit,Tropical","Forbidden Fruit is the mouthwatering cross of Cherry Pie x Tangie. This sumptuous genetic cross expresses a beautiful dense bud structure with deep purple hues, dark green foliage, and wiry orange hairs. The terpene profile is a perfect mixture of Cherry Pie’s musky, sweet cherry undertones and Tangie’s loud tropical flavors. There are also notes of pine, mango, and passionfruit candy. The effects hit hard between the eyes and lay into the body with each hit. Forbidden Fruit’s deep physical relaxation and mental stoniness make it perfect for dulling minor physical discomfort and discarding stress. ",Forbidden-Fruit,"Stress,Depression,Insomnia,Nausea",
Frida,indica,4.9,"Relaxed,Euphoric,Creative,Sleepy","Lemon,Earthy,Pine","With the dense, full flavor of her indica parentage and over 12% CBD from an ACDC mother, Frida is a complex and enchanting strain that provides relief for mind and body while fueling inspiration, sensuality, appetite, and meditation. Named in celebration of “The Heroine of Pain,” Frida by Raven Grass reminds the consumer to reach further, encouraging physical wellness without encumbering you with sedation. Enjoy Frida’s therapeutic effects as a panacea for hangovers, chronic pain, anxiety, and depression. This high-CBD indica-dominant hybrid is a beautiful stone-alone strain, but is also an excellent addition to cannabis blends.",Frida,"Stress,Inflammation,Insomnia,Depression",
Fruit-Spirit,hybrid,4.4,"Focused,Relaxed,Euphoric,Sleepy","Earthy,Blueberry,Sweet","Fruit Spirit is a 60% sativa-dominant hybrid that was bred by Royal Queen Seeds through crossing Blueberry and White Widow. This is a match made in heaven, as Fruit Spirit inherits a pleasant blueberry aroma and White Widow’s heavy resin production. A sense of happiness eases the mind in total cerebral relaxation, making Fruit Spirit suitable for patients treating mood disorders, anxiety, or depression. This sweet-smelling hybrid flowers in 7 to 8 weeks indoors, but outdoor gardens should only be grown in warm, sunny regions.",Fruit-Spirit,"Stress,Lack of Appetite,Depression,Headaches",
Gg-4,hybrid,4.7,"Relaxed,Euphoric,Uplifted,Hungry","Earthy,Pungent,Pine","GG #4, formerly known as Gorilla Glue #4, developed by GG Strains, is a potent hybrid strain that delivers heavy-handed euphoria and relaxation, leaving you feeling “glued” to the couch. Its chunky, resin-covered buds fill the room with pungent earthy and sour aromas inherited from its parent strains, Chem’s Sister, Sour Dubb, and Chocolate Diesel. Taking first place in both the Michigan and Los Angeles 2014 Cannabis Cups as well as the High Times Jamaican World Cup, this multiple award-winning hybrid's supremacy is no longer a secret, and consumers will search far and wide to get their hands sticky with GG #4.",Gg-4,"Stress,Depression,Lack of Appetite,Insomnia",
Gsc,hybrid,4.5,"Relaxed,Euphoric,Uplifted,Creative","Earthy,Sweet,Pungent","GSC, formerly known as Girl Scout Cookies, is an OG Kush and Durban Poison hybrid cross whose reputation grew too large to stay within the borders of its California homeland. With a sweet and earthy aroma, GSC launches you to euphoria’s top floor where full-body relaxation meets a time-bending cerebral space. A little goes a long way with this hybrid, whose THC heights have won GSC numerous Cannabis Cup awards. Patients needing a strong dose of relief, however, may look to GSC for severe pain, nausea, and appetite loss.There are several different phenotypes of the GSC strain including Thin Mint and Platinum Cookies, which exhibit some variation in appearance and effect. Typically, however, GSC expresses its beauty in twisting green calyxes wrapped in purple leaves and fiery orange hairs. Patients and consumers looking to cultivate this cannabis staple themselves should wait 9 to 10 weeks for their indoor plants to finish flowering.",Gsc,"Stress,Depression,Lack of Appetite,Insomnia ",
Gelato,hybrid,4.7,"Relaxed,Euphoric,Uplifted,Creative","Sweet,Pungent,Flowery","Gelato (also referred to as 'Larry Bird') is another tantalizing hybrid cannabis strain from Cookie Fam Genetics, following in the footsteps of its parents Sunset Sherbet and Thin Mint Girl Scout Cookies. This Bay Area, California native gets its name from the fruity, dessert-like aroma, a common genetic thread among the Cookie family. Her buds tend to bloom in dark purple hues illuminated by fiery orange hairs and a shining white coat of crystal resin. Novice consumers may want to approach this THC powerhouse with caution, but those armed with a high tolerance will delight in Gelato’s heavy-handed euphoria. Physical relaxation comes on strong, but many find themselves still mentally agile enough to stay productive and creative when enjoying Gelato during the day.",Gelato,"Depression,Stress,Insomnia,Lack of Appetite",
Gods-Gift,indica,4.5,"Relaxed,Euphoric,Sleepy,Hungry","Grape,Earthy,Sweet","A strain that became popular in California dispensaries in 2005, God's Gift contains flavors of grape, citrus, and hash. Its parents are Granddaddy Purple and OG Kush. No matter what your belief system, this strain is a 'gift' with its strong THC content of 18-22%. Its flowering time usually takes approximately 8-9 weeks.",Gods-Gift,"Stress,Insomnia,Depression,Lack of Appetite",
Golden-State-Banana,indica,4.8,"Euphoric,Relaxed,Sleepy,Creative","Citrus,Sweet,Tropical","Golden State Banana is a fruity indica cross of Ghost OG and Banana Kush. This semi-sedative strain fills the consumer’s mind with euphoria while wrapping the limbs in a warm, relaxing sensation. The aroma is a mixture of Ghost OG’s pungent, citrus terpenes and Banana Kush’s tropical scents, creating a rich bouquet with bright floral sweetness. Uplifting and relaxing, Golden State Banana’s effects are ideal for unwinding at the end of the day while elevating mood and frontloading creativity.  ",Golden-State-Banana,"Insomnia,Lack of Appetite,Stress,Nausea",
Gorilla-Cookies,hybrid,4.8,"Relaxed,Euphoric,Uplifted,Sleepy","Sweet,Earthy,Minty","Gorilla Cookies by Elev8 Seeds is the powerful union of Gorilla Glue #4 and Thin Mint Girl Scout Cookies. The pungent Gorilla Glue aroma is loud, but Thin Mint’s exotic terpene profile adds nuance to the bouquet. Both parents were bred for potency and that shows in the resin-coated buds that harden like stones after curing. Enjoy this one-hitter quitter with care, as the effects will alter the trajectory of your entire day. Gorilla Cookies is a quality strain for managing physical pain, nausea, and stress.",Gorilla-Cookies,"Stress,Depression,Insomnia,Nausea",
Granddaddy-Purple,indica,4.4,"Relaxed,Sleepy,Euphoric,Hungry","Grape,Berry,Sweet","Introduced in 2003 by Ken Estes, Granddaddy Purple (or GDP) is a famous indica cross between Purple Urkle and Big Bud. This California staple inherits a complex grape and berry aroma from its Purple Urkle parent, while Big Bud passes on its oversized, compact bud structure. GDP flowers bloom in shades of deep purple, a contrastive backdrop for its snow-like dusting of white crystal resin.Its potent psychoactive effects are clearly detectable in both mind and body, delivering a fusion of cerebral euphoria and physical relaxation. While your thoughts may float in a dreamy buzz, your body is more likely to find itself fixed in one spot for the duration of GDP’s effects. Like most heavy indica varieties, Granddaddy Purple is typically pulled off the shelf to treat pain, stress, insomnia, appetite loss, and muscle spasms. GDP blesses growers with massive commercial yields which are ready for harvest following a 60 day flowering time indoors.",Granddaddy-Purple,"Stress,Insomnia,Depression,Lack of Appetite",
