Strain,Type,Rating,Effects,Flavor,Description,Strain,Medical,Cost
Black-Lime-Special-Reserve,indica,4.5,"Relaxed,Euphoric,Sleepy","Lime,Pepper,Citrus","From Aficionado Seeds comes Black Lime Special Reserve, an indica strain that descends from Woodman Canyon Oil Can, Lime Afghani, Northern Lights, Purple Kush, and Chemdawg Special Reserve. Flavors of pine, lemon, and black pepper are ushered in alongside uplifting euphoria, leaving you feeling tingly and relaxed.",Black-Lime-Special-Reserve,"Stress,Depression,Insomnia,Inflammation,Headaches",
Black-Mamba,indica,4.6,"Relaxed,Euphoric,Uplifted","Sweet,Grape,Woody","Black Mamba is named after the deadly African snake (or perhaps the vengeful bride from the movie Kill Bill), so it’s no surprise that this strain is known for being strong (it might just knock less experienced users into nap time). The genetics of this strain are unknown, but its characteristics seem to support the theory that it is a descendent of Granddaddy Purple and maybe Black Domina. These plants produce dark green to purple leaves, but it’s the flowers that appear after about 8 weeks that really give a hint to its supposed heritage. Dark green and dense, these hard nugs have a strong perfumey aroma and a distinctly sweet grape taste that is reminiscent of GDP. Many users report an upbeat feeling that mellows into a state of deep relaxation. Touted for its long-lasting effects, this Black Mamba is one to curl up with, not run away from.",Black-Mamba,"Stress,Depression,Insomnia,Inflammation",
Blackberry-Kush,indica,4.3,"Relaxed,Sleepy,Euphoric,Hungry","Berry,Sweet,Earthy","This mostly indica strain is a mix of Afghani and Blackberry strains and has beautiful dark purple buds with orange hairs. Plants will flower at 7-8 weeks and are not particularly high yielders, but the dense, hard nugs have crystals throughout. Blackberry Kush tends to have a hashy, jet fuel smell and taste that is balanced by sweet berries. Blackberry Kush is often recommended for the treatment of pain thanks to its strong indica body effects.",Blackberry-Kush,"Stress,Insomnia,Depression,Headaches",
Blue-Cookies,hybrid,4.7,"Relaxed,Euphoric,Uplifted,Creative","Berry,Blueberry,Sweet","Blue Cookies is an indica-dominant hybrid cross between two celebrity strains, Girl Scout Cookies and Blueberry. As the child of these heavyweight champion strains, Blue Cookies delivers a crushing blow of euphoria straight to the head, where it swiftly sinks down to relax the entire body. Sweet berry flavors fuse with earthy cherry notes in a flavor profile as enticing as the bud’s thick coat of frosty resin that stretches over twisting hues of green and purple. Novice consumers should approach Blue Cookies with modesty, but this strain’s potency is perfect for hard-to-impress veterans. You may also come across another variation of Blue Cookies, a select Girl Scout Cookies phenotype that lacks the Blueberry genetics.",Blue-Cookies,"Stress,Depression,Lack of Appetite,Insomnia",
Blue-Dream,hybrid,4.4,"Relaxed,Uplifted,Euphoric,Creative","Blueberry,Berry,Sweet","Blue Dream, a sativa-dominant hybrid originating in California, has achieved legendary status among West Coast strains. Crossing a Blueberry indica with the sativa Haze, Blue Dream balances full-body relaxation with gentle cerebral invigoration. Novice and veteran consumers alike enjoy the level effects of Blue Dream, which ease you gently into a calm euphoria. Some Blue Dream phenotypes express a more indica-like look and feel, but the sativa-leaning variety remains most prevalent.With a sweet berry aroma redolent of its Blueberry parent, Blue Dream delivers swift symptom relief without heavy sedative effects. This makes Blue Dream a popular daytime medicine for patients treating pain, depression, nausea, and other ailments requiring a high THC strain. ",Blue-Dream,"Stress,Depression,Lack of Appetite,Insomnia",
Blueberry,indica,4.3,"Relaxed,Euphoric,Sleepy,Uplifted","Blueberry,Berry,Sweet","A true A-List cannabis strain. Blueberry’s legendary status soared to new heights after claiming the High Times’ Cannabis Cup 2000 for Best Indica. The long history of the strain is traced back to the late 1970s when American breeder DJ Short was working with a variety of exotic landrace strains. However, throughout the decades of Blueberry’s cultivation the genetics have been passed around, due in large part to DJ Short working with multiple seed banks and breeders. The sweet flavors of fresh blueberries combine with relaxing effects to produce a long-lasting sense of euphoria. Many medical patients appreciate Blueberry for its ability to suppress pain and relieve stress, while connoisseurs and growers admire the strain for its colorful hues and high THC content.",Blueberry,"Stress,Depression,Insomnia,Fatigue",
Blueberry-Diesel,hybrid,4.2,"Uplifted,Euphoric,Relaxed,Focused","Blueberry,Diesel,Sweet","Blueberry Diesel is a cross of two favorite strains, Blueberry and Sour Diesel. It is probably best known for its strong blueberry smell with hints of fuel from its Diesel lineage. Blueberry also overwhelms the flavor of these sticky flowers, which should have plenty of trichomes and long orange hairs. Effects tend to be happy and relaxing but not too overwhelming, making this a popular choice for many kinds of patients.",Blueberry-Diesel,"Stress,Depression,Lack of Appetite,Insomnia",
Blueberry-Kush,indica,4.3,"Relaxed,Euphoric,Sleepy,Uplifted","Blueberry,Berry,Sweet","Blueberry Kush is a strong indica strain that slowly brings on a heavy body sensation, helping patients forget their pain and relax. Originally from Oregon, this strain is a hybrid of Blueberry and OG Kush, which is evident in its fresh berry aroma with notes of earthy herbalness. This indica is best for evenings or before bed.",Blueberry-Kush,"Stress,Depression,Insomnia,Nausea",
Blueberry-Og,hybrid,4.6,"Hungry,Euphoric","Blueberry,Berry,Flowery","Blueberry OG is a DJ Short Blueberry phenotype with exceptional CBD yielding qualities combined with the indica-dominant legend, OG Kush. This potent, award-winning union doesn’t pack much in the way of psychoactivity, but its anti-anxiety and anti-inflammatory effects make up for any lack of headiness. With flavors of sweet camphor and sandalwood, this strain elevates the consumer's mood and promotes an overall sense of well being.     ",Blueberry-Og,"Stress,Depression,Insomnia,Fatigue",
Bubba-Kush,indica,4.3,"Relaxed,Sleepy,Euphoric,Hungry","Earthy,Sweet,Woody","Bubba Kush is an indica strain that has gained notoriety in the U.S. and beyond for its heavy tranquilizing effects. Sweet hashish flavors with subtle notes of chocolate and coffee come through on the exhale, delighting the palate as powerful relaxation takes over. From head to toe, muscles ease with heaviness as dreamy euphoria blankets the mind, crushing stress while coercing happy moods. Bubba Kush exhibits a distinctive, bulky bud structure with hues that range from forest green to pale purple.Bubba’s stocky plant stature and bulky bud structure suggest Afghani descent, but its genetic origins aren’t certain. The breeder whom this strain was named after states that Bubba Kush emerged just after 1996, when an OG Kush hybrid pollinated an unknown indica strain obtained in New Orleans. The mother plant was supposedly Northern Lights, but the genetically ambiguous indica was simply called “Bubba.” Bubba Kush has flourished from its California roots ever since.",Bubba-Kush,"Stress,Depression,Lack of Appetite,Insomnia",
Candyland,sativa,4.6,"Uplifted,Energetic,Euphoric,Creative","Sweet,Earthy,Flowery","Candyland, a gold medalist of the 2012 KushCon, is a sativa-dominant hybrid bred from Granddaddy Purple and Bay Platinum Cookies. Golden hairs weave through Candyland’s thick coat of sugar-like trichomes and highlight the compact, camouflage-colored buds. This strain grows well indoors and out, and patients turn to Candyland to relieve pain, muscle tension, and sour moods. Strong sativa genetics give Candyland uplifting and stimulating effects, making it a perfect strain for social gatherings or creative pastimes.",Candyland,"Stress,Depression,Fatigue,Headaches",
Cannatonic,hybrid,4.3,"Relaxed,Uplifted,Focused,Euphoric","Earthy,Woody,Sweet","Cannatonic is a unique hybrid strain bred by Spanish seed bank Resin Seeds specifically for its low THC content (rarely above 6%) and high CBD content (6-17%).  A cross between a female MK Ultra and a famous G13 Haze male, it produces a relatively short-lived, mellow high that is also uplifting and powerfully relaxing, thanks to the high CBD content.  As one of the premier medical strains, Cannatonic is often used to treat pain, muscle spasms, anxiety, migraines, and a wide variety of other physiological and psychological symptoms.  Most phenotypes present with a slight earthy odor and a mild, sweet, vaguely citrusy flavor.",Cannatonic,"Stress,Depression,Inflammation,Insomnia",
Cheese,hybrid,4.1,"Relaxed,Euphoric,Uplifted,Hungry","Cheese,Earthy,Pungent","Named for its sharply sour aroma, Cheese is an indica-dominant hybrid from the U.K. that has achieved widespread popularity for its unique flavor and consistent potency. With origins that stretch back to the late 1980s, Cheese is said to descend from a Skunk #1 phenotype whose pungent aroma made it stand out. Breeders like Big Buddha Seeds later introduced Afghani indica genetics to increase Cheese’s trichome production and yields. The resulting hybrid is now well-known for its relaxed, happy effects that gently ease you into a blissful state of mind.",Cheese,"Stress,Depression,Nausea,Lack of Appetite",
Chemdawg-4-X-Alien-Og-Kush,hybrid,4.5,"Relaxed,Energetic,Euphoric,Creative","Nutty,Mint,Flowery","Chemdawg #4 x Alien OG Kush is a sativa-dominant hybrid strain offered exclusively by LivWell in Colorado. Sour and skunky in flavor, these pungent buds carry a complex fragrance with notes of earthy Kush and fresh pine. Prepare yourself for a blissful, relaxing experience that overtakes both mind and body, because this potent strain can skirt past 23% THC.",Chemdawg-4-X-Alien-Og-Kush,"Fatigue,Inflammation,Muscle Spasms,Lack of Appetite,Stress",
